,community,size,total_spending,median_spending,mean_claims,median_hcpcs,median_servicing,anomaly_rate
1571,1571,1,20674877.24,20674877.24,17377.0,2.0,1.0,0.0
1475,1475,1,20647819.529999997,20647819.529999997,297448.0,2.0,1.0,0.0
2842,2842,1,20644261.36,20644261.36,18983.0,2.0,1.0,0.0
1303,1303,1,20623548.470000003,20623548.470000003,144172.0,2.0,1.0,0.0
2149,2149,1,20612704.83,20612704.83,209613.0,2.0,1.0,0.0
2278,2278,1,20575529.11,20575529.11,230351.0,2.0,1.0,0.0
2552,2552,1,20561074.01,20561074.01,52988.0,1.0,1.0,0.0
488,488,1,20558809.869999997,20558809.869999997,7523.0,1.0,1.0,0.0
1545,1545,1,20527157.569999997,20527157.569999997,134035.0,1.0,1.0,0.0
1676,1676,1,20512967.82,20512967.82,259343.0,2.0,1.0,0.0
1165,1165,1,20493600.13,20493600.13,56473.0,1.0,2.0,0.0
633,633,1,20493440.88,20493440.88,143196.0,1.0,1.0,0.0
934,934,1,20478214.55,20478214.55,57219.0,1.0,1.0,0.0
261,261,1,20458795.540000003,20458795.540000003,126717.0,2.0,1.0,0.0
1765,1765,1,20410726.04,20410726.04,77324.0,2.0,1.0,0.0
1774,1774,1,20394505.4,20394505.4,35647.0,1.0,1.0,0.0
45,45,1,20382166.560000002,20382166.560000002,7228.0,1.0,1.0,0.0
324,324,1,20381337.58,20381337.58,230635.0,1.0,1.0,0.0
2870,2870,1,20373389.79,20373389.79,160516.0,1.0,1.0,0.0
1271,1271,1,20363064.11,20363064.11,251758.0,2.0,3.0,0.0
8,8,1,20347304.0,20347304.0,273907.0,1.0,1.0,0.0
842,842,1,20321488.72,20321488.72,39770.0,2.0,1.0,0.0
99,99,1,20301965.580000002,20301965.580000002,286105.0,2.0,1.0,0.0
603,603,1,20281445.36,20281445.36,296464.0,1.0,1.0,0.0
2328,2328,1,20264762.43,20264762.43,249270.0,1.0,1.0,0.0
1198,1198,1,20206178.77,20206178.77,122727.0,1.0,1.0,0.0
1428,1428,1,20188948.93,20188948.93,274975.0,2.0,1.0,0.0
2189,2189,1,20181834.36,20181834.36,333049.0,1.0,0.0,0.0
