,cluster,count,total_paid_median,total_paid_mean,total_paid_std,total_claims_median,total_claims_mean,total_claims_std,paid_per_claim_median,paid_per_claim_mean,paid_per_claim_std,paid_per_beneficiary_median,paid_per_beneficiary_mean,paid_per_beneficiary_std,n_unique_hcpcs_median,n_unique_hcpcs_mean,n_unique_hcpcs_std,n_servicing_npis_median,n_servicing_npis_mean,n_servicing_npis_std,n_years_active_median,n_years_active_mean,n_years_active_std,n_months_active_median,n_months_active_mean,n_months_active_std
284,283,146,260561.255,1581026.5725342466,12359997.754853375,9395.5,166564.65753424657,1545444.9034300752,26.871927915001933,27.284985224671107,12.43312071142237,27.984192166102194,28.750864433895533,13.242523296867343,10.0,10.349315068493151,7.916453808805041,1.0,2.2054794520547945,9.865242229732564,5.0,4.958904109589041,1.7689923581393454,51.0,46.33561643835616,22.701747584943455
285,284,147,1369.63,8265.68693877551,35042.91645386722,51.0,142.2721088435374,589.4419761586809,34.27310734463277,56.87778916871543,73.34806976526747,42.667692307692306,75.5019645307328,104.16694307150622,1.0,1.0136054421768708,0.11624222217746533,1.0,0.9115646258503401,0.2848977242110694,2.0,2.401360544217687,1.690666821294001,3.0,5.26530612244898,6.881906524041658
286,285,351,1847.57,340221.8696581197,3629950.3983577923,46.0,3163.25641025641,52003.833961378565,38.36,84.39197229185888,176.7295675957219,47.89692307692307,103.85306988064367,200.99352144591631,1.0,1.1737891737891737,0.8592336459208674,1.0,0.8689458689458689,0.34629265068522574,2.0,2.3105413105413106,1.6571498743763993,3.0,6.672364672364672,12.262756848898396
287,286,474,19159.715000000004,71248.65065400844,228276.32152577353,440.5,1242.945147679325,3157.852572912348,53.84745179362915,56.88306297388925,30.283029405902287,65.01584343294398,76.6013081362965,83.52109827729834,2.0,2.352320675105485,0.6884158474204887,1.0,1.139240506329114,0.5757798766432422,2.0,2.4873417721518987,1.6996604875704737,11.0,17.641350210970465,19.558824891952195
288,287,164,19570.25,112576.46902439026,599402.326827117,337.0,951.719512195122,2922.1617944162103,64.38737942830487,71.7931350783451,48.487020192671835,78.98643894917868,101.78033925021133,150.01525471651328,2.0,2.1646341463414633,0.4735642042152156,1.0,1.1890243902439024,0.6512858631009012,3.0,2.902439024390244,1.6363190480264,13.0,19.201219512195124,17.75469518064598
289,288,164,972.995,4389.365853658536,9562.199839985027,108.5,441.9024390243902,946.4637912856855,10.466089743589743,14.813532827567656,15.031543518638212,15.199141914191419,21.688696555969393,22.02069621143363,1.0,1.4817073170731707,1.3081742110941887,1.0,1.4390243902439024,2.5745215100162646,1.5,1.896341463414634,1.1962051573174812,4.0,8.329268292682928,10.558693540266733
290,289,573,1653.6,6112.962949389179,18080.101113957207,154.0,548.8429319371728,1702.5754298026304,10.590065146579805,17.446862178647894,19.474100405721664,16.374193548387098,28.569637520063644,38.59848663863006,1.0,1.4973821989528795,1.3659483202005749,1.0,1.1134380453752182,0.6991834986423762,2.0,2.1465968586387434,1.4863515804678735,5.0,11.06457242582897,14.068800154868605
291,290,189,72569.71999999999,205075.6768253968,765872.3555838602,867.0,1662.8095238095239,3272.1663891708586,79.909265993266,91.88395393049326,60.743001474359744,207.87758196721313,289.438245427531,380.12070259456294,1.0,1.0105820105820107,0.14547859349066158,0.0,0.41798941798941797,0.8054958694072288,3.0,2.894179894179894,1.617529633855936,17.0,22.03174603174603,18.549503853519965
292,291,723,38906.020000000004,127771.02560165974,327846.96543810866,512.0,1539.0082987551866,6353.968525860974,80.40148514851485,85.80015729928779,46.616136151163914,188.49434180138573,234.0256380077752,272.5158058850867,1.0,1.0276625172890732,0.26169792289045174,0.0,0.5795297372060858,1.796494370242758,2.0,2.7247579529737207,1.6611191837785462,12.0,19.647302904564317,19.152365535267112
293,292,142,913.6,466502.4504225352,4572451.268365548,248.5,7997.612676056338,74470.75055404611,5.483426356589147,20.840661825648617,43.49206072419556,5.722884615384615,23.660702000632636,58.32981880154923,2.0,4.852112676056338,19.224669133859333,1.0,1.3169014084507042,4.3733067131441965,3.0,3.1338028169014085,1.9432694291626806,11.0,20.43661971830986,23.64586983225325
