,billing_npi,changepoint_month,changepoint_idx,type,direction,mean_before,mean_after,pct_change,std_before,std_after,is_covid_period
7500,1649937236,2023-02,61,mean_shift,increase,52999.18333333333,1493164.8949999998,27.173356664417028,83994.944340137,563032.0227822547,False
7501,1649937236,2024-10,81,mean_shift,decrease,2745427.6750000003,1071622.0,-0.6096702857049004,726156.9874080981,795857.4776790073,False
7502,1396223780,2019-03,14,mean_shift,increase,0.0,28775.0,28775000000.0,1e-06,11193.469451234514,False
7503,1396223780,2020-12,35,mean_shift,increase,152474.58333333334,250421.66666666666,0.6423830201166265,43292.460334196454,13755.181650917322,True
7504,1407025539,2019-10,21,mean_shift,increase,160836.27666666664,295830.685,0.8393281113580494,43999.34818558817,38065.30272681701,False
7505,1407025539,2024-07,78,mean_shift,increase,671021.4416666667,3120516.5049999994,3.6503976046513302,24009.087064747615,650693.4470980187,False
7506,1982064390,2020-05,28,trend_break,increase,244248.86666666667,321985.4433333333,0.318267911443117,18603.60024565844,26616.054835365605,True
7507,1982064390,2022-10,57,trend_break,increase,618480.0266666667,776835.19,0.25603925188423843,60790.893870682914,89802.45650745847,False
7508,1982064390,2024-10,81,variance_shift,decrease,1323531.955,691455.02,-0.4775683221033545,162181.86215831447,525902.942806027,False
7509,1225213325,2022-07,54,variance_shift,increase,513398.43166666664,580751.285,0.13119022026333785,25169.938104693207,9725.46037198801,False
7510,1225213325,2024-10,81,variance_shift,decrease,551234.63,485163.25666666665,-0.11986070855746761,14091.266295084399,116105.01495482653,False
7511,1497837280,2019-01,12,mean_shift,increase,7148.905,32396.07666666667,3.531613815421391,3553.985964167506,5514.190404183005,False
7512,1497837280,2022-01,48,mean_shift,increase,201260.5116666667,849763.5466666667,3.222207027232678,73432.76740679197,357738.5273632011,False
7513,1790118412,2019-10,21,mean_shift,increase,340669.5983333333,677173.7966666667,0.9877729036539621,24234.967154752852,39686.87048866199,False
7514,1790118412,2021-06,41,trend_break,decrease,543865.09,372553.42,-0.3149892742696263,28917.45078696948,17543.191259722,True
7515,1790118412,2022-12,59,mean_shift,increase,372222.4916666667,708402.5666666668,0.9031696969568229,35025.514390687145,35704.661407519765,False
7516,1801899414,2022-12,59,trend_break,decrease,562114.7633333333,432003.77166666667,-0.23146695328704528,22136.100497163636,24246.490903517843,False
7517,1801899414,2024-10,81,variance_shift,decrease,413830.6883333334,228391.75666666668,-0.44810338356746227,16048.084541589695,129737.9177438815,False
7518,1013514199,2021-01,36,mean_shift,increase,0.0,311089.60333333333,311089603333.3334,1e-06,146358.38754440556,True
7519,1013514199,2024-10,81,mean_shift,decrease,1189096.9133333333,411324.83,-0.6540863697580303,115535.09460899525,512275.67748892936,False
7520,1093970881,2020-01,24,variance_shift,decrease,610171.9416666668,422018.38499999995,-0.30836153519682097,31572.397893229838,106036.90456398953,False
7521,1093970881,2022-03,50,variance_shift,increase,428558.6666666667,609999.9716666667,0.42337565218509937,115231.00428693248,41042.92053548047,False
7522,1093970881,2024-10,81,variance_shift,decrease,546193.14,338196.69,-0.38081117239886825,79572.76125402427,124092.55766879272,False
7523,1164886040,2019-10,21,mean_shift,increase,221763.24166666667,816620.6666666666,2.6823986722355473,43652.05930606427,197368.6131855641,False
7524,1164886040,2021-07,42,mean_shift,decrease,1217661.34,540653.6016666667,-0.5559901723846938,184370.69708659573,45447.10032816843,True
7525,1285705442,2020-11,34,mean_shift,increase,182082.6166666667,775693.85,3.260120291531068,47449.50376402216,56175.74679779927,True
7526,1649605403,2020-02,25,mean_shift,increase,61866.52166666667,398639.645,5.4435438465799715,19430.671590963477,91144.52818502478,False
7527,1639267933,2018-10,9,mean_shift,increase,0.0,752.035,752035000.0,1e-06,1071.8034901986189,False
7528,1639267933,2019-01,12,mean_shift,decrease,752.035,0.0,-0.9999999986702747,1071.8034901986189,1e-06,False
7529,1639267933,2019-07,18,mean_shift,increase,0.0,176184.72999999998,176184730000.0,1e-06,124282.70309064075,False
7530,1639267933,2019-10,21,mean_shift,increase,29169.934999999998,317639.6166666667,9.889280920810329,48295.49574489029,41880.40378046097,False
7531,1639267933,2024-10,81,variance_shift,decrease,819471.1333333334,481289.61000000004,-0.4126826554064349,87540.24849561429,369175.29534346657,False
7532,1417368697,2020-10,33,mean_shift,increase,0.0,764116.7833333333,764116783333.3334,1e-06,347586.81654314033,True
7533,1417368697,2024-10,81,mean_shift,decrease,1203184.6033333333,0.0,-0.9999999999991689,138032.26651405578,1e-06,False
7534,1295246098,2019-06,17,mean_shift,increase,0.0,183458.44666666666,183458446666.66666,1e-06,81432.87131245887,False
7535,1295246098,2021-05,40,variance_shift,increase,407284.00666666665,545328.1449999999,0.33893827421014777,44144.61915477783,20397.950559794528,True
7536,1295246098,2024-07,78,mean_shift,decrease,1356455.9583333333,53650.72,-0.9604478717710226,60151.671188167464,86458.91653979546,False
7537,1295246098,2024-10,81,mean_shift,decrease,705266.96,97524.79999999999,-0.8617193126403344,695912.8385211945,104902.67510868635,False
7538,1952853988,2019-10,21,mean_shift,increase,0.0,271945.825,271945825000.00003,1e-06,20134.48488875641,False
7539,1952853988,2022-03,50,trend_break,increase,494673.33666666667,687375.0183333333,0.3895534029887045,52872.473628585816,50346.4385276437,False
7540,1235103755,2023-07,66,mean_shift,decrease,601683.725,76125.84499999999,-0.8734786369684946,41791.18835054276,10991.806541614316,False
7541,1235103755,2024-10,81,variance_shift,decrease,76057.15833333334,42061.81333333333,-0.44697101159844416,14457.815499822098,34277.594375858855,False
7542,1285677930,2022-07,54,mean_shift,increase,423016.5433333333,736270.625,0.7405244229871283,24654.52199077954,27637.426762253017,False
7543,1821126004,2019-05,16,variance_shift,increase,434713.48666666663,560831.4933333333,0.2901175384123345,22882.327699022524,65805.2706822822,False
7544,1447212592,2022-06,53,mean_shift,increase,385250.625,733243.0,0.903288281489736,50715.98830764045,116394.96197867038,False
7545,1255706628,2018-07,6,mean_shift,increase,0.0,40110.958333333336,40110958333.333336,1e-06,9412.252665320793,False
7546,1255706628,2020-12,35,mean_shift,increase,233669.13999999998,428258.4066666667,0.8327555220421231,2786.224461543932,70150.39290424743,True
7547,1205371721,2018-05,4,mean_shift,increase,56316.605,197923.24333333332,2.514473987393573,2972.6343068346414,29526.48999781453,False
7548,1205371721,2019-12,23,mean_shift,increase,236307.77333333332,417173.45166666666,0.7653818398831963,18087.54092411304,29732.611243881907,False
7549,1205371721,2024-10,81,mean_shift,decrease,841831.2100000001,350390.6666666667,-0.5837756280534545,96677.9304657129,272077.6484464341,False
7550,1093703639,2020-07,30,variance_shift,increase,396763.8066666667,559728.0716666668,0.41073369662596404,95496.67497860738,36151.64913725861,True
7551,1477034395,2019-04,15,mean_shift,increase,0.0,226436.51666666663,226436516666.66666,1e-06,108483.15796923726,False
7552,1477034395,2019-08,19,mean_shift,increase,103512.98999999999,455523.4583333333,3.400640521831441,82687.58738663908,68045.81258629296,False
7553,1568439685,2018-12,11,mean_shift,increase,333.84666666666664,783962.8016666668,2347.272058987344,493.09256589583737,78315.42502642916,False
7554,1568439685,2023-04,63,mean_shift,decrease,696431.6516666667,19379.48833333334,-0.9721731654672394,126314.6032506121,23351.631800199397,False
7555,1568439685,2024-03,74,mean_shift,decrease,7478.065,0.0,-0.9999999998662755,2981.10961305024,1e-06,False
7556,1467442418,2020-10,33,mean_shift,increase,9008.668333333335,446207.7066666667,48.53092844667228,6125.127196472262,184500.09353831972,True
7557,1780681189,2022-03,50,variance_shift,increase,507535.7733333334,652360.9566666667,0.285349705266847,40797.57316617762,73679.57688931274,False
7558,1780681189,2024-10,81,variance_shift,decrease,827016.1133333333,417807.18,-0.4948016450169268,56408.849316942935,351226.93452912197,False
7559,1093713091,2020-03,26,variance_shift,decrease,651688.5216666667,454377.35000000003,-0.30276913756551777,41020.31365791775,125104.8406919923,True
7560,1093713091,2024-10,81,variance_shift,decrease,439413.4633333334,234563.96333333335,-0.46618849237247345,36011.79765299533,145423.92254338693,False
7561,1811054745,2023-01,60,mean_shift,increase,450801.36166666663,1277664.3833333333,1.8342070188249229,16850.709297862883,50885.535914116044,False
7562,1811054745,2024-05,76,mean_shift,decrease,952046.055,259368.06666666665,-0.727567731303299,249893.9510605845,85777.78816845814,False
7563,1811054745,2024-10,81,mean_shift,decrease,361118.175,36201.94666666666,-0.8997504164182087,150227.84244545802,32963.17762666521,False
7564,1043300882,2019-05,16,trend_break,increase,921919.8850000001,1061231.615,0.15111045142479895,36851.31694099402,43033.5283261539,False
7565,1043300882,2021-09,44,mean_shift,decrease,1140175.3499999999,0.0,-0.9999999999991229,96770.01719809552,1e-06,True
7566,1942201959,2024-10,81,variance_shift,decrease,509500.08666666667,321433.6933333333,-0.36911945307676475,44772.22691122847,218717.94785315718,False
7567,1801861190,2020-03,26,trend_break,decrease,571815.7266666667,392481.6566666667,-0.3136221367066861,90245.47315157998,53104.53268595878,True
7568,1801861190,2021-05,40,trend_break,increase,377325.0716666666,545568.19,0.44588375108430484,31117.55568024662,30373.792203842113,True
7569,1801861190,2024-10,81,variance_shift,decrease,499918.98500000004,326238.51999999996,-0.3474172220117879,37441.534736215624,150597.9187735118,False
7570,1205186442,2020-05,28,mean_shift,increase,0.0,4008.195,4008195000.0000005,1e-06,4293.088900983128,True
7571,1205186442,2022-01,48,mean_shift,increase,9864.741666666667,87496.83333333333,7.869652777742651,7287.0204582637625,37982.342179185325,False
7572,1205186442,2024-09,80,mean_shift,decrease,1054202.5066666666,0.0,-0.9999999999990514,395378.3098634038,1e-06,False
7573,1710020623,2019-01,12,mean_shift,increase,179129.88166666668,381360.41500000004,1.1289603468198817,22977.094312783214,23812.368525083406,False
7574,1336454461,2021-07,42,trend_break,increase,466120.3233333333,551364.7883333332,0.18288081581642765,36536.83153121283,21634.95495151732,True
7575,1336454461,2024-10,81,mean_shift,decrease,711934.16,162662.23333333334,-0.7715206791958054,49951.88683449642,219803.70316621853,False
7576,1770808636,2020-04,27,variance_shift,increase,439107.0316666667,555804.9083333332,0.26576180350258666,24473.374690829376,11295.73954526095,True
7577,1770808636,2024-10,81,variance_shift,decrease,564130.3666666667,380509.8466666667,-0.3254930612664079,9628.325017698848,234557.18628932026,False
7578,1770852436,2022-02,49,variance_shift,decrease,403861.0633333334,363379.695,-0.1002358781485731,40462.92415404932,244540.0520382335,False
7579,1770852436,2022-06,53,mean_shift,increase,275873.51666666666,695597.4533333333,1.5214361339812494,128891.8302401113,16760.152331582274,False
7580,1952309098,2024-10,81,variance_shift,decrease,463276.48833333334,281190.03,-0.39304057710333606,34224.88204466498,170263.90458321988,False
